iata,name,country,tz
AAA,Anaa Airport,French Polynesia,Pacific/Tahiti
AAC,El Arish International Airport,Egypt,Africa/Cairo
AAE,Rabah Bitat Airport,Algeria,Africa/Algiers
AAF,Apalachicola Regional Airport,United States,America/New_York
AAH,Aachen-Merzbrück Airport,Germany,Europe/Berlin
AAK,Buariki Airport,Kiribati,
AAL,Aalborg Airport,Denmark,Europe/Copenhagen
AAM,Malamala Airport,South Africa,Africa/Johannesburg
AAN,Al Ain International Airport,United Arab Emirates,Asia/Dubai
AAO,Anaco Airport,Venezuela,America/Caracas
AAP,Andrau Airpark,United States,America/Chicago
AAQ,Anapa Vityazevo Airport,Russia,Europe/Moscow
AAR,Aarhus Airport,Denmark,Europe/Copenhagen
AAT,Altay Air Base,China,Asia/Shanghai
AAV,Allah Valley Airport,Philippines,
AAX,Romeu Zema Airport,Brazil,America/Sao_Paulo
AAY,Al Ghaidah International Airport,Yemen,Asia/Aden
AAZ,Quezaltenango Airport,Guatemala,America/Guatemala
ABA,Abakan Airport,Russia,Asia/Krasnoyarsk
ABB,Asaba International Airport,Nigeria,Africa/Lagos
ABC,Albacete-Los Llanos Airport,Spain,Europe/Madrid
ABD,Abadan Airport,Iran,Asia/Tehran
ABE,Lehigh Valley International Airport,United States,America/New_York
ABF,Abaiang Airport,Kiribati,Pacific/Tarawa
ABH,Alpha Airport,Australia,
ABI,Abilene Regional Airport,United States,America/Chicago
ABJ,Port Bouet Airport,Cote d'Ivoire,Africa/Abidjan
ABK,Kabri Dehar Airport,Ethiopia,Africa/Addis_Ababa
ABL,Ambler Airport,United States,America/Anchorage
ABM,Northern Peninsula Airport,Australia,Australia/Brisbane
ABN,Albina Airport,Suriname,America/Paramaribo
ABQ,Albuquerque International Sunport,United States,America/Denver
ABR,Aberdeen Regional Airport,United States,America/Chicago
ABS,Abu Simbel Airport,Egypt,Africa/Cairo
ABT,Al Baha Airport,Saudi Arabia,Asia/Riyadh
ABV,Nnamdi Azikiwe International Airport,Nigeria,Africa/Lagos
ABX,Albury Airport,Australia,Australia/Sydney
ABY,Southwest Georgia Regional Airport,United States,America/New_York
ABZ,Aberdeen Dyce Airport,United Kingdom,Europe/London
ACA,General Juan N Alvarez International Airport,Mexico,America/Mexico_City
ACC,Kotoka International Airport,Ghana,Africa/Accra
ACD,Alcides Fernández Airport,Colombia,America/Bogota
ACE,Lanzarote Airport,Spain,Atlantic/Canary
ACF,Brisbane Archerfield Airport,Australia,Australia/Brisbane
ACH,St Gallen Altenrhein Airport,Switzerland,Europe/Zurich
ACI,Alderney Airport,Guernsey,Europe/Guernsey
ACJ,Anuradhapura Air Force Base,Sri Lanka,Asia/Colombo
ACK,Nantucket Memorial Airport,United States,America/New_York
ACN,Ciudad Acuña New International Airport,Mexico,America/Mexico_City
ACP,Sahand Airport,Iran,Asia/Tehran
ACR,Araracuara Airport,Colombia,America/Bogota
ACS,Achinsk Airport,Russia,
ACT,Waco Regional Airport,United States,America/Chicago
